feature,mean_nonzero_ratio,constant_stock_ratio,tier
seal_intensity_ma10,0.000557,0.84774,event
seal_strength_ma10,0.000557,0.84774,event
seal_success_ma10,0.000557,0.84774,event
is_yzt_ma10,0.000577,0.841591,event
cb_1_lag2,0.000582,0.0,event
comment_attention_lag2,0.00068,0.000181,event
comment_institution_lag2,0.00068,0.000181,event
comment_trend_lag2,0.00068,0.000181,event
concept_momentum_12m_accel_lag2,0.00068,0.000181,event
concept_momentum_12m_lag2,0.00068,0.000181,event
concept_momentum_12m_ma10_lag2,0.00068,0.000181,event
concept_momentum_12m_ma20_lag2,0.00068,0.000181,event
concept_momentum_12m_ma5_lag2,0.00068,0.000181,event
concept_momentum_12m_std20_lag1,0.00068,0.000181,event
concept_momentum_3m_accel_lag2,0.00068,0.000181,event
concept_momentum_3m_lag2,0.00068,0.000181,event
concept_momentum_3m_ma10_lag2,0.00068,0.000181,event
concept_momentum_3m_ma20_lag2,0.00068,0.000181,event
concept_momentum_3m_ma5_lag2,0.00068,0.000181,event
concept_momentum_3m_std20_lag1,0.00068,0.000181,event
concept_momentum_6m_accel_lag2,0.00068,0.000181,event
concept_momentum_6m_lag2,0.00068,0.000181,event
concept_momentum_6m_ma10_lag2,0.00068,0.000181,event
concept_momentum_6m_ma20_lag2,0.00068,0.000181,event
concept_momentum_6m_ma5_lag2,0.00068,0.000181,event
concept_momentum_6m_std20_lag1,0.00068,0.000181,event
is_concept_leader_lag2,0.00068,0.000181,event
market_state_frenzy_accel_lag2,0.00068,0.000181,event
market_state_frenzy_lag2,0.00068,0.000181,event
market_state_frenzy_ma10_lag2,0.00068,0.000181,event
market_state_frenzy_ma20_lag2,0.00068,0.000181,event
market_state_frenzy_ma5_lag2,0.00068,0.000181,event
market_state_frenzy_std20_lag1,0.00068,0.000181,event
market_state_ice_accel_lag2,0.00068,0.000181,event
market_state_ice_lag2,0.00068,0.000181,event
market_state_ice_ma10_lag2,0.00068,0.000181,event
market_state_ice_ma20_lag2,0.00068,0.000181,event
market_state_ice_ma5_lag2,0.00068,0.000181,event
market_state_ice_std20_lag1,0.00068,0.000181,event
market_state_strong_accel_lag2,0.00068,0.000181,event
market_state_strong_lag2,0.00068,0.000181,event
market_state_strong_ma10_lag2,0.00068,0.000181,event
market_state_strong_ma20_lag2,0.00068,0.000181,event
market_state_strong_ma5_lag2,0.00068,0.000181,event
market_state_strong_std20_lag1,0.00068,0.000181,event
sector_relative_strength_lag2,0.00068,0.000181,event
cb_2_lag2,0.000703,0.0,event
board_height_20d,0.000705,0.84774,event
cb_1_accel_lag1,0.000706,0.0,event
cb_1_ma10_lag1,0.000706,0.0,event
cb_1_ma20_lag1,0.000706,0.0,event
cb_0_lag2,0.000707,0.000181,event
avg_concept_heat_lag2,0.000711,0.000181,event
board_count_lag2,0.000711,0.000181,event
board_momentum_max_lag2,0.000711,0.000181,event
board_momentum_mean_lag2,0.000711,0.000181,event
board_overlap_score_lag2,0.000711,0.000181,event
is_dt_lag2,0.000712,0.000181,event
is_zb_lag2,0.000712,0.000181,event
cb_2_ma5,0.000748,0.000904,event
consecutive_zt_lag2,0.000752,0.000181,event
is_zt_lag2,0.000752,0.000181,event
seal_strength_lag2,0.000752,0.000181,event
seal_success_lag2,0.000752,0.000181,event
is_yzt_lag2,0.000755,0.000181,event
cb_0_ma5_lag2,0.000767,0.000181,event
cb_1_ma5_lag2,0.000767,0.0,event
board_momentum_max_ma5_lag2,0.000772,0.000181,event
board_momentum_mean_ma5_lag2,0.000772,0.000181,event
board_height_20d_ma5,0.000796,0.84774,event
cb_1_std20,0.000797,0.0,event
consecutive_zt_accel,0.000805,0.84774,event
seal_strength_accel,0.000807,0.84774,event
seal_success_accel,0.000807,0.84774,event
consecutive_zt_ma20,0.000809,0.84774,event
is_zt_ma20,0.000809,0.84774,event
seal_intensity_accel,0.000809,0.84774,event
seal_intensity_ma20,0.000809,0.84774,event
seal_strength_ma20,0.000809,0.84774,event
seal_success_ma20,0.000809,0.84774,event
concept_zt_count_std20,0.00081,0.0,event
concept_zt_ratio_std20,0.00081,0.0,event
cb_0_accel_lag2,0.000813,0.000181,event
cb_0_ma10_lag2,0.000813,0.000181,event
cb_0_ma20_lag2,0.000813,0.000181,event
board_momentum_max_accel_lag2,0.000817,0.000181,event
board_momentum_max_ma10_lag2,0.000817,0.000181,event
board_momentum_max_ma20_lag2,0.000817,0.000181,event
board_momentum_mean_accel_lag2,0.000817,0.000181,event
board_momentum_mean_ma10_lag2,0.000817,0.000181,event
board_momentum_mean_ma20_lag2,0.000817,0.000181,event
board_height_20d_accel,0.000826,0.84774,event
cb_0_std20_lag1,0.000828,0.000181,event
board_height_20d_ma10,0.000831,0.84774,event
board_height_20d_ma20,0.000831,0.84774,event
is_yzt_ma20,0.000831,0.841591,event
board_momentum_max_std20_lag1,0.000833,0.000181,event
board_momentum_mean_std20_lag1,0.000833,0.000181,event
cb_1_lag3,0.00085,0.0,event
cb_1_accel_lag2,0.000928,0.0,event
cb_1_ma10_lag2,0.000928,0.0,event
cb_1_ma20_lag2,0.000928,0.0,event
cb_2_ma5_lag1,0.000958,0.0,event
cb_1_std20_lag1,0.000974,0.0,event
cb_2_lag3,0.000988,0.0,event
news_sent_bear_vol,0.001009,0.217722,event
board_height_20d_lag1,0.001016,0.0,event
comment_attention_lag3,0.00102,0.000362,event
comment_institution_lag3,0.00102,0.000362,event
comment_trend_lag3,0.00102,0.000362,event
concept_momentum_12m_accel_lag3,0.00102,0.000362,event
concept_momentum_12m_lag3,0.00102,0.000362,event
concept_momentum_12m_ma10_lag3,0.00102,0.000362,event
concept_momentum_12m_ma20_lag3,0.00102,0.000362,event
concept_momentum_12m_ma5_lag3,0.00102,0.000362,event
concept_momentum_12m_std20_lag2,0.00102,0.000362,event
concept_momentum_3m_accel_lag3,0.00102,0.000362,event
concept_momentum_3m_lag3,0.00102,0.000362,event
concept_momentum_3m_ma10_lag3,0.00102,0.000362,event
concept_momentum_3m_ma20_lag3,0.00102,0.000362,event
concept_momentum_3m_ma5_lag3,0.00102,0.000362,event
concept_momentum_3m_std20_lag2,0.00102,0.000362,event
concept_momentum_6m_accel_lag3,0.00102,0.000362,event
concept_momentum_6m_lag3,0.00102,0.000362,event
concept_momentum_6m_ma10_lag3,0.00102,0.000362,event
concept_momentum_6m_ma20_lag3,0.00102,0.000362,event
concept_momentum_6m_ma5_lag3,0.00102,0.000362,event
concept_momentum_6m_std20_lag2,0.00102,0.000362,event
is_concept_leader_lag3,0.00102,0.000362,event
market_state_frenzy_accel_lag3,0.00102,0.000362,event
market_state_frenzy_lag3,0.00102,0.000362,event
market_state_frenzy_ma10_lag3,0.00102,0.000362,event
market_state_frenzy_ma20_lag3,0.00102,0.000362,event
market_state_frenzy_ma5_lag3,0.00102,0.000362,event
market_state_frenzy_std20_lag2,0.00102,0.000362,event
market_state_ice_accel_lag3,0.00102,0.000362,event
market_state_ice_lag3,0.00102,0.000362,event
market_state_ice_ma10_lag3,0.00102,0.000362,event
market_state_ice_ma20_lag3,0.00102,0.000362,event
market_state_ice_ma5_lag3,0.00102,0.000362,event
market_state_ice_std20_lag2,0.00102,0.000362,event
market_state_strong_accel_lag3,0.00102,0.000362,event
market_state_strong_lag3,0.00102,0.000362,event
market_state_strong_ma10_lag3,0.00102,0.000362,event
market_state_strong_ma20_lag3,0.00102,0.000362,event
market_state_strong_ma5_lag3,0.00102,0.000362,event
market_state_strong_std20_lag2,0.00102,0.000362,event
sector_relative_strength_lag3,0.00102,0.000362,event
cb_1_ma5_lag3,0.001035,0.0,event
cb_0_lag3,0.001047,0.000362,event
avg_concept_heat_lag3,0.001051,0.000362,event
board_count_lag3,0.001051,0.000362,event
board_momentum_max_lag3,0.001051,0.000362,event
board_momentum_mean_lag3,0.001051,0.000362,event
board_overlap_score_lag3,0.001051,0.000362,event
is_dt_lag3,0.001052,0.000362,event
is_zb_lag3,0.001052,0.000362,event
consecutive_zt_lag3,0.001092,0.000362,event
is_zt_lag3,0.001092,0.000362,event
seal_strength_lag3,0.001092,0.000362,event
seal_success_lag3,0.001092,0.000362,event
is_yzt_lag3,0.001095,0.000362,event
cb_0_ma5_lag3,0.001107,0.000362,event
board_momentum_max_ma5_lag3,0.001112,0.000362,event
board_momentum_mean_ma5_lag3,0.001112,0.000362,event
cb_0_accel_lag3,0.001138,0.000362,event
cb_0_ma10_lag3,0.001138,0.000362,event
cb_0_ma20_lag3,0.001138,0.000362,event
board_momentum_max_accel_lag3,0.001142,0.000362,event
board_momentum_max_ma10_lag3,0.001142,0.000362,event
board_momentum_max_ma20_lag3,0.001142,0.000362,event
board_momentum_mean_accel_lag3,0.001142,0.000362,event
board_momentum_mean_ma10_lag3,0.001142,0.000362,event
board_momentum_mean_ma20_lag3,0.001142,0.000362,event
consecutive_zt_std20,0.001149,0.0,event
seal_intensity_std20,0.001149,0.0,event
seal_strength_std20,0.001149,0.0,event
seal_success_std20,0.001149,0.0,event
cb_1_accel_lag3,0.00115,0.0,event
cb_1_ma10_lag3,0.00115,0.0,event
cb_1_ma20_lag3,0.00115,0.0,event
cb_0_std20_lag2,0.001153,0.000362,event
board_momentum_max_std20_lag2,0.001158,0.000362,event
board_momentum_mean_std20_lag2,0.001158,0.000362,event
board_height_20d_std20,0.00117,0.0,event
cb_1_std20_lag2,0.001196,0.0,event
news_sent_streak,0.001222,0.287703,event
