window,feature,ic_cross,icir_cross,ic_pos_ratio,coverage,ic_ts,grade
full,market_state_normal_accel_lag2,0.038123539591180616,0.2615767433814276,0.5384615384615384,0.0032306163021868788,-0.00663721219221469,high
full,market_state_normal_ma20_lag10,0.03710458038407639,0.4114542905875363,0.6363636363636364,0.0027335984095427437,0.004323198978138243,high
full,market_state_normal_std20_lag10,0.03710458038407639,0.4114542905875363,0.6363636363636364,0.0027335984095427437,0.004322925557232826,high
full,sumn_60d,0.03706629227975949,0.19776979207231574,0.5800198807157058,1.0,0.02540170563001055,high
full,comment_score_lag20,0.03698146215559475,0.16847893947174727,0.5757575757575758,0.008200795228628231,0.0062856969837299295,high
full,imin_5d,0.036717750606509225,0.2223127139766097,0.5923440218742232,0.9997514910536779,0.02554117949025638,high
full,cb_0_lag2,0.03597305855235568,0.19372361731685508,0.5,0.0004970178926441351,0.009178166714537899,high
full,market_state_weak_lag3,0.03555773757591102,0.20786486959920383,0.5405405405405406,0.0275844930417495,-0.008477609846109005,high
full,board_momentum_mean_ma5_lag5,0.03502651575743611,0.5037174247594413,0.6,0.001242544731610338,0.0005366865218529686,high
full,board_momentum_mean_ma20_lag5,0.03502651575743611,0.5037174247594413,0.6,0.001242544731610338,0.0005366865218529686,high
full,board_momentum_max_ma10_lag5,0.03502651575743611,0.5037174247594413,0.6,0.001242544731610338,0.0005366865218529686,high
full,board_momentum_max_ma5_lag5,0.03502651575743611,0.5037174247594413,0.6,0.001242544731610338,0.0005366865218529686,high
full,board_momentum_mean_accel_lag5,0.03502651575743611,0.5037174247594413,0.6,0.001242544731610338,0.0005366865218529686,high
full,board_momentum_mean_ma10_lag5,0.03502651575743611,0.5037174247594413,0.6,0.001242544731610338,0.0005366865218529686,high
full,board_momentum_max_accel_lag5,0.03502651575743611,0.5037174247594413,0.6,0.001242544731610338,0.0005366865218529686,high
full,board_momentum_max_ma20_lag5,0.03502651575743611,0.5037174247594413,0.6,0.001242544731610338,0.0005366865218529686,high
full,market_state_volatile_ma10_lag1,0.03478138106419687,0.2859257883986819,0.5,0.002485089463220676,0.0032810393535751088,high
full,vstd_30d,0.03439938550881762,0.22025394149172203,0.5974155069582505,1.0,0.013562809953200753,high
full,net_zt_proportion_lag20,0.033027813815355384,0.2760326213559659,0.75,0.0009940357852882703,0.011381227091639369,high
full,max_60d,0.03203444861712406,0.15268730672780464,0.5633697813121272,1.0,0.03616949839594917,high
full,unlock_return_30d,0.031879773363275465,0.23772126834508434,0.5789473684210527,0.009443339960238568,-0.0069997708415062134,high
full,open0,0.031126561472921952,0.16911560002458062,0.5708250497017893,1.0,0.0019469838838674872,high
full,market_state_normal_ma5_lag2,0.030776021492503483,0.19724467786592437,0.5,0.0019880715705765406,-0.0014579672599063119,high
full,max_30d,0.0303929718207016,0.14432619225340274,0.5574055666003976,1.0,0.033857994574496085,high
full,board_momentum_max_ma20_lag2,0.029847344521261122,0.4402189986603365,0.625,0.0019880715705765406,-0.0017616388576972093,high
full,board_momentum_mean_ma10_lag2,0.029847344521261122,0.4402189986603365,0.625,0.0019880715705765406,-0.0017616388576972093,high
full,board_momentum_mean_ma20_lag2,0.029847344521261122,0.4402189986603365,0.625,0.0019880715705765406,-0.0017616388576972093,high
full,board_momentum_max_ma10_lag2,0.029847344521261122,0.4402189986603365,0.625,0.0019880715705765406,-0.0017616388576972093,high
full,board_momentum_mean_ma10_lag3,0.028924636001810274,0.3877284522838053,0.5714285714285714,0.0017395626242544733,0.0012483425504020982,high
full,board_momentum_mean_ma20_lag3,0.028924636001810274,0.3877284522838053,0.5714285714285714,0.0017395626242544733,0.0012483425504020982,high
full,board_momentum_max_ma10_lag3,0.028924636001810274,0.3877284522838053,0.5714285714285714,0.0017395626242544733,0.0012483425504020982,high
full,board_momentum_max_ma20_lag3,0.028924636001810274,0.3877284522838053,0.5714285714285714,0.0017395626242544733,0.0012483425504020982,high
full,market_state_normal_ma10_lag20,0.028609421410683865,2.476280860025061,1.0,0.0004970178926441351,0.006495968836597274,high
full,market_state_normal_accel_lag20,0.028609421410683865,2.476280860025061,1.0,0.0004970178926441351,0.006495968836597274,high
full,market_state_normal_ma5_lag20,0.028609421410683865,2.476280860025061,1.0,0.0004970178926441351,0.006495968836597274,high
full,market_state_normal_ma20_lag20,0.028609421410683865,2.476280860025061,1.0,0.0004970178926441351,0.006495968836597274,high
full,market_state_normal_std20_lag20,0.028609421410683865,2.476280860025061,1.0,0.0004970178926441351,0.006495818697794059,high
full,market_state_volatile_ma10_lag2,0.02855663429181646,0.21571006277279717,0.5,0.002982107355864811,0.0010332134764754575,high
full,market_state_volatile_ma5,0.02848307189783263,0.14725223239713514,0.5,0.0014910536779324055,-0.003634450950223646,high
full,cpi_yoy_lag1,0.02830847253319657,0.17260040957158687,0.5802469135802469,0.04025844930417495,-0.005048688508517989,high
full,consecutive_zt_lag5,0.028296169283421584,0.15425335678738566,0.5,0.0019880715705765406,0.006905882912123037,high
full,market_state_normal_ma20_lag5,0.028183524417812533,0.3633267196401877,0.6666666666666666,0.002982107355864811,0.004669826845212035,high
full,market_state_normal_std20_lag5,0.028183524417812533,0.3633267196401877,0.6666666666666666,0.002982107355864811,0.004670628469235954,high
full,roe,0.028160615115661567,0.17643568531038875,0.5815991237677984,0.2268886679920477,-0.010870838858703363,high
full,seal_strength_lag5,0.02816031524303084,0.15365900856040504,0.5,0.0019880715705765406,0.00690562843124287,high
full,is_zt_lag5,0.02816031524303084,0.15365900856040504,0.5,0.0019880715705765406,0.00690562843124287,high
full,seal_success_lag5,0.02816031524303084,0.15365900856040504,0.5,0.0019880715705765406,0.00690562843124287,high
full,market_state_weak_std20_lag1,0.02807843432984957,0.1922417700632023,0.5714285714285714,0.03479125248508946,0.0054563845901492705,high
